id,entidadeTipo,entidadeId,entidadeNome,dadosExcluidos,excluidoPor,excluidoPorNome,motivoExclusao,createdAt
30003,acao,840096,"Participar de MBA em Gestão de Projetos, Liderança ou Agronegócio -Médio Prazo","{""id"":840096,""pdiId"":1020004,""macroId"":210014,""microcompetencia"":""Participar de MBA em Gestão de Projetos, Liderança ou Agronegócio"",""titulo"":""Participar de MBA em Gestão de Projetos, Liderança ou Agronegócio -Médio Prazo"",""descricao"":""Para este item do PDI, o foco é a formação acadêmica de alto nível. Como o texto original estava com a justificativa em branco e trazia muitas instruções operacionais de sistema, eu o simplifiquei para que fique focado no seu objetivo de carreira.\n\nAqui está a versão ajustada e profissional:\n\nO que fazer: Cursar MBA em Gestão de Projetos, Liderança ou Agronegócio, visando o fortalecimento de competências estratégicas a médio prazo.\n\nComo fazer:\n\nAção: Realizar pós-graduação (MBA) em uma das áreas correlatas às atividades desenvolvidas, conforme prioridade acordada com a liderança.\n\nMetodologia: Frequentar as aulas, participar de fóruns de discussão e aplicar os conceitos teóricos em projetos internos do Sebrae sempre que possível.\n\nJustificativa: A especialização em nível de MBA permite o domínio de ferramentas de gestão avançada e visão sistêmica, essenciais para liderar projetos complexos e apoiar o desenvolvimento do setor de agronegócios com maior profundidade técnica e estratégica.\n\nOnde fazer: Instituições de Ensino Superior credenciadas / Universidade Sebrae / Plataformas de ensino parceiras.\nEvidência esperada: Certificado de conclusão de curso (especialista) ou diploma de MBA."",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:47"",""updatedAt"":""2026-02-01 18:46:00""}",1,Equipe CKM Talents,,2026-02-01 21:16:31
30004,acao,840095,Desenvolver equilíbrio emocional e empatia nas relações institucionais,"{""id"":840095,""pdiId"":1020002,""macroId"":210005,""microcompetencia"":""Competência Comportamental: Inteligência Emocional"",""titulo"":""Desenvolver equilíbrio emocional e empatia nas relações institucionais"",""descricao"":""**O que fazer:**\nDesenvolver equilíbrio emocional e empatia nas relações institucionais\n\n**Como fazer:**\nSEGUEM DUAS AÇÕES:   Ambas as ações são indicações para o seu desenvolvimento e que entendemos podem lhe ajudar neste desafio de aprimorar suas competências. ELAS SÃO OPCIONAIS , não há a necessidade de fazer as duas, mas se optar por fazer será um grande ganho no seu desenvolvimento.  Caso deseje propor outra ação diferente destas duas opções, converse com sua liderança e registre a opção alternativa nos comentários para que possamos incluí-la no seu plano.  Não há necessidade de apagar as que \n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-01-31T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:47"",""updatedAt"":""2026-01-31 22:38:47""}",1,Equipe CKM Talents,,2026-02-01 21:16:37
30005,acao,840094,Organizar entregas com foco em resultado e controle de prioridades,"{""id"":840094,""pdiId"":1020002,""macroId"":210014,""microcompetencia"":""Organizar entregas com foco em resultado e control"",""titulo"":""Organizar entregas com foco em resultado e controle de prioridades"",""descricao"":""**O que fazer:**\nOrganizar entregas com foco em resultado e controle de prioridades\n\n**Como fazer:**\nSEGUEM DUAS AÇÕES: \nAmbas as ações são indicações para o seu desenvolvimento e que entendemos podem lhe ajudar neste desafio de aprimorar suas competências.  ELAS SÃO OPCIONAIS , não há a necessidade de fazer as duas, mas se optar por fazer será um grande ganho no seu desenvolvimento.\nCaso deseje propor outra ação diferente destas duas opções, converse com sua liderança e registre a opção alternativa nos comentários para que possamos incluí-la no seu plano.\nNão há necessidade de apagar as que já\n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:47"",""updatedAt"":""2026-01-31 22:38:47""}",1,Equipe CKM Talents,,2026-02-01 21:16:56
30006,acao,840093,Desenvolver Agilidade e Segurança na Tomada de Decisão -Médio Prazo,"{""id"":840093,""pdiId"":1020014,""macroId"":210007,""microcompetencia"":""Competência Comportamental: Tomada de Decisão e Resolução de Problemas"",""titulo"":""Desenvolver Agilidade e Segurança na Tomada de Decisão -Médio Prazo"",""descricao"":""**O que fazer:**\nDesenvolver Agilidade e Segurança na Tomada de Decisão -Médio Prazo\n\n**Como fazer:**\nAÇÃO / OBJETIVO \n Desenvolver agilidade e segurança na tomada de decisões em contextos de pressão e incerteza, fortalecendo a capacidade de agir de forma assertiva diante de cenários desafiadores no ambiente de trabalho.\n \n JUSTIFICATIVA \n Esta ação está alinhada com os pontos de melhoria identificados na avaliação de desempenho. Ampliar a habilidade de tomar decisões com rapidez e clareza, mesmo sob pressão, é essencial para atuar com autonomia, responder a imprevistos e liderar com confiança e\n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:47"",""updatedAt"":""2026-01-31 22:38:47""}",1,Equipe CKM Talents,,2026-02-01 21:17:00
30007,acao,840092,Assumir Protagonismo no Desenvolvimento Profissional - Médio Prazo,"{""id"":840092,""pdiId"":1020014,""macroId"":210007,""microcompetencia"":""Competência Comportamental: Tomada de Decisão e Resolução de Problemas"",""titulo"":""Assumir Protagonismo no Desenvolvimento Profissional - Médio Prazo"",""descricao"":""**O que fazer:**\nAssumir Protagonismo no Desenvolvimento Profissional - Médio Prazo\n\n**Como fazer:**\nAÇÃO / OBJETIVO \n Desenvolver protagonismo e autoliderança para fortalecer a capacidade de iniciativa, inovação e comprometimento com resultados no ambiente de trabalho.\n \n JUSTIFICATIVA \n Atuar com protagonismo e autonomia em seu desenvolvimento fortalece a capacidade de agir com iniciativa, propor melhorias, inovar e manter o foco em resultados. Esse comportamento é essencial para profissionais que desejam evoluir constantemente e ter um papel ativo no crescimento da equipe e da organização.\n \n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:47"",""updatedAt"":""2026-01-31 22:38:47""}",1,Equipe CKM Talents,,2026-02-01 21:17:03
30008,acao,840091,Desenvolver Autoconfiança e Posicionamento Assertivo - Medio Prazo,"{""id"":840091,""pdiId"":1020014,""macroId"":210005,""microcompetencia"":""Competência Comportamental: Autoconhecimento e Posicionamento Profissional"",""titulo"":""Desenvolver Autoconfiança e Posicionamento Assertivo - Medio Prazo"",""descricao"":""**O que fazer:**\nDesenvolver Autoconfiança e Posicionamento Assertivo - Medio Prazo\n\n**Como fazer:**\nAÇÃO / OBJETIVO\n Fortalecer a autoconfiança e o posicionamento assertivo para ampliar a segurança na comunicação, a clareza ao se expressar e a influência positiva nas interações profissionais.\n \n JUSTIFICATIVA\n O perfil comportamental (DISC e PDC) revelou a necessidade de desenvolver maior autoconfiança e clareza de posicionamento. Essas competências são fundamentais para se comunicar com firmeza, expressar opiniões com equilíbrio e atuar com protagonismo e influência no ambiente de trabalho.\n \n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:47"",""updatedAt"":""2026-01-31 22:38:47""}",1,Equipe CKM Talents,,2026-02-01 21:17:08
30009,acao,840090,Aprimorar a Gestão do Tempo e Produtividade - Longo prazo,"{""id"":840090,""pdiId"":1020014,""macroId"":210009,""microcompetencia"":""Competência Comportamental: Gestão do Tempo e Produtividade"",""titulo"":""Aprimorar a Gestão do Tempo e Produtividade - Longo prazo"",""descricao"":""**O que fazer:**\nAprimorar a Gestão do Tempo e Produtividade - Longo prazo\n\n**Como fazer:**\nJUSTIFICATIVA Desenvolver a produtividade e o uso eficiente do tempo é essencial para garantir foco nas tarefas prioritárias, reduzir o estresse e aumentar a performance individual, especialmente em contextos de alta demanda e múltiplas responsabilidades.\n COMO REALIZAR Realizar o curso “Produtividade e Gestão do Tempo” disponível na Udemy ou Sebrae .\n Alternativamente, adotar metodologias reconhecidas como o GTD (Getting Things Done) no planejamento das rotinas de trabalho.\n ONDE FAZER Curso \""G\n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:47"",""updatedAt"":""2026-01-31 22:38:47""}",1,Equipe CKM Talents,,2026-02-01 21:17:15
30010,acao,840089,Fortalecer Protagonismo e Colaboração em Equipes - Médio Prazo,"{""id"":840089,""pdiId"":1020014,""macroId"":210011,""microcompetencia"":""Competência Comportamental: Trabalho em Equipe"",""titulo"":""Fortalecer Protagonismo e Colaboração em Equipes - Médio Prazo"",""descricao"":""**O que fazer:**\nFortalecer Protagonismo e Colaboração em Equipes - Médio Prazo\n\n**Como fazer:**\nAÇÃO / OBJETIVO \n Desenvolver competências de protagonismo e colaboração \n para ampliar a participação ativa em projetos e fortalecer o trabalho em equipe, promovendo uma atuação mais engajada, propositiva e integrada com os objetivos organizacionais.\n \n JUSTIFICATIVA \n Esta ação atende à necessidade identificada na avaliação de desempenho e ao desejo da colaboradora de se posicionar de forma mais ativa e colaborativa no ambiente de trabalho.\n Fortalecer essas competências é essencial para lidar\n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:47"",""updatedAt"":""2026-01-31 22:38:47""}",1,Equipe CKM Talents,,2026-02-01 21:17:19
30011,acao,840088,Desenvolver Habilidades de Trabalho em Equipe - Médio prazo,"{""id"":840088,""pdiId"":1020014,""macroId"":210011,""microcompetencia"":""Competência Comportamental: Trabalho em Equipe"",""titulo"":""Desenvolver Habilidades de Trabalho em Equipe - Médio prazo"",""descricao"":""**O que fazer:**\nDesenvolver Habilidades de Trabalho em Equipe - Médio prazo\n\n**Como fazer:**\nJUSTIFICATIVA Reforçar a habilidade de trabalhar colaborativamente amplia a eficácia, melhora a comunicação interna e fortalece o desempenho coletivo. Essa competência é essencial para ambientes dinâmicos, onde o sucesso depende da integração entre diferentes áreas e perfis.\n COMO REALIZAR Participar de workshops sobre trabalho em equipe , promovidos por instituições como o Sebrae ou órgãos parceiros.\n Alternativamente, envolver-se em estudos de caso e dinâmicas de grupo realizadas internamente \n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:47"",""updatedAt"":""2026-01-31 22:38:47""}",1,Equipe CKM Talents,,2026-02-01 21:17:21
30012,acao,840087,Desenvolver Capacidade Criativa e Inovadora - Médio Prazo,"{""id"":840087,""pdiId"":1020014,""macroId"":210038,""microcompetencia"":""Competência Comportamental: Inovação e Criatividade"",""titulo"":""Desenvolver Capacidade Criativa e Inovadora - Médio Prazo"",""descricao"":""**O que fazer:**\nDesenvolver Capacidade Criativa e Inovadora - Médio Prazo\n\n**Como fazer:**\nAÇÃO / OBJETIVO\n Estimular a criatividade e a inovação no ambiente de trabalho, buscando gerar soluções originais, melhorar processos e contribuir com ideias relevantes nos projetos da Unidade.\n \n JUSTIFICATIVA\n Estimular a criatividade e a inovação é essencial para gerar novas soluções, aprimorar a atuação profissional e se destacar no ambiente de trabalho atual. Essa necessidade foi identificada pela liderança como um ponto importante a ser fortalecido para ampliar o impacto positivo da atuaçã\n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:46"",""updatedAt"":""2026-01-31 22:38:46""}",1,Equipe CKM Talents,,2026-02-01 21:17:27
30013,acao,840086,Aperfeiçoar Técnicas de Vendas Consultivas - Médio Prazo,"{""id"":840086,""pdiId"":1020013,""macroId"":210032,""microcompetencia"":""Técnicas de Vendas e Negociação"",""titulo"":""Aperfeiçoar Técnicas de Vendas Consultivas - Médio Prazo"",""descricao"":""**O que fazer:**\nAperfeiçoar Técnicas de Vendas Consultivas - Médio Prazo\n\n**Como fazer:**\nAÇÃO/OBJETIVO \n Fortalecer as habilidades de vendas consultivas com foco na identificação de necessidades do cliente e na oferta de soluções alinhadas ao contexto e perfil de cada público.\n \n JUSTIFICATIVA \n Esta ação irá potencializar suas habilidades em vendas consultivas, ampliando sua capacidade de identificar necessidades, construir relações de confiança e oferecer soluções mais assertivas e personalizadas.\n \n COMO REALIZAR \n Realizar curso de Técnicas de Vendas Consultivas na Escola Conque\n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:46"",""updatedAt"":""2026-01-31 22:38:46""}",1,Equipe CKM Talents,,2026-02-01 21:17:32
30014,acao,840085,Aprimorar Conhecimentos em Excel Intermediário - Curto Prazo,"{""id"":840085,""pdiId"":1020013,""macroId"":210035,""microcompetencia"":""Tecnologia e Análise de Dados"",""titulo"":""Aprimorar Conhecimentos em Excel Intermediário - Curto Prazo"",""descricao"":""**O que fazer:**\nAprimorar Conhecimentos em Excel Intermediário - Curto Prazo\n\n**Como fazer:**\nJustificativa Dominar o Excel não é apenas uma habilidade técnica — é uma vantagem competitiva. No contexto institucional, onde a análise de dados e o acompanhamento de indicadores são cruciais, o conhecimento intermediário permite criar dashboards, interpretar métricas e transformar dados em decisões. Essa ação fortalece sua autonomia, agilidade e contribuição estratégica no ambiente de trabalho.\n Como Realizar a Ação \n Curso 1 – Gratuito e disponível na lista do projeto: \n Microsoft Excel 2016\n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:46"",""updatedAt"":""2026-01-31 22:38:46""}",1,Equipe CKM Talents,,2026-02-01 21:17:44
30015,acao,840084,Aprimorar a Tomada de Decisão Ágil e Estratégica,"{""id"":840084,""pdiId"":1020013,""macroId"":210007,""microcompetencia"":""Competência Comportamental: Gestão e Tomada de Decisão"",""titulo"":""Aprimorar a Tomada de Decisão Ágil e Estratégica"",""descricao"":""**O que fazer:**\nAprimorar a Tomada de Decisão Ágil e Estratégica\n\n**Como fazer:**\nAção de Desenvolvimento: Aprimoramento da Capacidade de Tomada de Decisão Estratégica e Ágil. \n Justificativa: Esta ação visa desenvolver a capacidade da colaboradora de analisar situações com rapidez e precisão, tomando decisões estratégicas que impactem positivamente nos resultados organizacionais. Essa competência atende às necessidades identificadas em sua avaliação de desempenho e no perfil DISC, contribuindo para uma atuação mais assertiva e alinhada aos objetivos da empresa.\n Como Realiza\n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:46"",""updatedAt"":""2026-01-31 22:38:46""}",1,Equipe CKM Talents,,2026-02-01 21:17:49
30016,acao,840083,Desenvolver Foco em Resultados e Entregas de Alto Impacto longo prazo,"{""id"":840083,""pdiId"":1020013,""macroId"":210014,""microcompetencia"":""Competência Comportamental: Gestão de Resultados"",""titulo"":""Desenvolver Foco em Resultados e Entregas de Alto Impacto longo prazo"",""descricao"":""**O que fazer:**\nDesenvolver Foco em Resultados e Entregas de Alto Impacto longo prazo\n\n**Como fazer:**\nPlano de Desenvolvimento – Foco em Resultados 🎯 JUSTIFICATIVA: Esta ação tem como objetivo fortalecer o senso de foco em resultados da colaboradora, alinhando seus esforços individuais às metas organizacionais e melhorando a entrega de valor para clientes internos e externos. Além disso, busca estimular o propósito pessoal como motor para a alta performance.\n 🛠️ COMO REALIZAR: Curso: Realizar o curso \""Gestão de Resultados e Performance\"" pela Escola Conquer ou Sebrae.\n Complementar: Assistir ao T\n\n**Onde fazer:**\nUniversidade Sebrae / Plataformas online\n\n**Evidência esperada:**\nCertificado de conclusão ou relatório de aplicação prática"",""prazo"":""2026-04-30T00:00:00.000Z"",""status"":""nao_iniciada"",""createdAt"":""2026-01-31 22:38:46"",""updatedAt"":""2026-01-31 22:38:46""}",1,Equipe CKM Talents,,2026-02-01 21:17:55
