id,actionId,colaboradorId,status,justificativaAdmin,createdAt,evaluatedAt,evaluatedBy,satisfactionScore,descricao,arquivo,respostaColaborador,dataResposta,tipoEvidencia,data_realizacao,cargaHoraria,oQueRealizou,comoAplicou,resultadoPratico,impactoPercentual,principalAprendizado,linkExterno,evidenciaComprova,impactoComprova,impactoValidadoAdmin,parecerImpacto
780008,1140025,1500001,aprovada,,2026-02-12 15:37:16,2026-02-12 15:39:54,1,,"Enviado por e-mail em ter., 10 de fev., 19:38",,,,,,,,,,,,,,,,
780009,1140024,1500001,reprovada,Não recebida.,2026-02-12 15:37:28,2026-02-18 19:32:29,1,,"Enviado por e-mail em ter., 10 de fev., 19:38",,,,,,,,,,,,,,,,
870001,900407,1290067,aprovada,,2026-02-13 12:54:15,2026-02-13 13:24:20,1,,"Eu realizei o curso Planejamento e Organização Pessoal no Trabalho e aprendi ferramentas para gestão da minhas atividades, 23 a 27/06/2026:
Módulo 1: Conceitos iniciais de planejamento pessoal e organização
Módulo 2: Sou organizado?
Módulo 3: Como (re)começar a organizar
Módulo 4: Ferramentas de organização no trabalho

E já utilizo várias ferramentas de apoio para melhorar executar as minhas atividades.",,,,,,,,,,,,,,,,
900001,900410,1290067,aprovada,,2026-02-13 14:36:15,2026-02-13 14:46:11,1,,"Eu já fiz esse curso: Gestão do Tempo e Produtividade (Turma OUT/2025), com
carga-horária de 40 horas, início em 27/10/2025, término em 29/10/2025 e nota
final 90.
Conteúdo
Módulo 1 – AUTOCONHECIMENTO: paradas e reflexões.
Módulo 2 – PRODUTIVIDADE: conceitos e contextos.
Módulo 3 – Elementos e ferramentas de produtividade.
Módulo 4 – Gestão do tempo.
Módulo 5 – Atitudes de pessoas produtivas.",,,,,,,,,,,,,,,,
900002,900411,1290067,aprovada,,2026-02-13 14:50:50,2026-02-13 15:17:02,1,,"Já fiz esse curso e as atividades, encaminhei por e-mail: Certificado curso Planejamento e organização pessoal no trabalho e realizei a atividades:  Glossário Pessoal de Termos e Expressões Institucionais.",,,,,,,,,,,,,,,,
900003,900411,1290067,aprovada,,2026-02-13 14:51:35,2026-02-13 15:17:05,1,,"Já fiz o cursos e as atividades, encaminhei por e-mail: Certificado curso Planejamento e organização pessoal no trabalho e realizei a atividades:  Glossário Pessoal de Termos e Expressões Institucionais.",,,,,,,,,,,,,,,,
930001,1020019,1290044,aprovada,,2026-02-19 16:44:39,2026-02-23 14:39:50,1,,"A realização da ação exigiu liderar a ação estratégica da FENEVA AGRO TECH 2026 e SICTIVA, considerando:
•	Melhoria da imagem institucional do SEBRAE-TO
•	Aprimoramento de conhecimentos de planejamento, gestão de equipes de trabalho.
•	Negociação de propostas com parceiro ACIP
•	Articulação com parceiros estratégicos (ACIP, FAPT, PREFEITURA MUNICIPAL e demais atores do INOVA PARAÍSO)
•	Acompanhamento e monitoramento dos lançamentos das metas físicas para o SEBRAE no sistema de atendimento SEBRAE / FOCO",,,,,,,,,,,,,,,,
930002,1050006,1290045,reprovada,Evidência não recebida.,2026-02-19 16:56:45,2026-02-23 14:43:55,1,,sghstger,,,,,,,,,,,,,,,,
930003,1020017,1290044,aprovada,,2026-02-19 17:15:44,2026-02-23 14:40:01,1,,"A capacitação na Palestra de Vendas com abordagem de atendimento “VENDAS NÃO OCORREM POR ACASO” do Thiago Concer proporcionou a potencialização de estratégias de vendas e atendimentos dos clientes SEBRAE, considerando:
•	Contato prévio com clientes através de mensagem (whatts) com uma manifestação inicial e posteriormente a abordagem das vendas e interação, ocasionando a venda de produtos SEBRAE, como curso de gestão financeira do portfólio.
•	A elaboração da estratégia de captação de clientes para o ALI Produtividade com a segmentação de clientes da indústria e inscrição no programa.
•	Visitas de identificação da demanda e apresentação de propostas de consultorias (Mente e Corpo).
•	A abordagem proporcionou o impacto positivo em clientes que relataram a utilização das estratégias de vendas e a consultoria que estimulou o planejamento do cliente para expandir o negócio para outros mercados.
•	Clientes que com a intervenção do atendimento e soluções melhoraram o processo produtivo (Paula Lanches)",,,,,,,,,,,,,,,,
930004,1050005,1290042,aprovada,,2026-02-19 17:15:57,2026-02-23 14:42:09,1,,"Durante atendimento a uma cliente do segmento do agro, que havia recebido proposta para participação em missão empresarial voltada às mulheres do agro e encontrava-se em fase de indecisão, apliquei a técnica de follow-up estruturado com definição de próximo passo e geração de compromisso.
Realizei contato via WhatsApp, utilizando abordagem consultiva, reforçando os ganhos estratégicos da missão (networking qualificado, acesso a benchmarking e ampliação de oportunidades comerciais) e estabelecendo uma data objetiva para retorno e alinhamento final da inscrição.
A técnica aplicada teve como foco reduzir a inércia decisória e conduzir a cliente de forma estruturada à tomada de decisão. Como resultado, houve resposta no mesmo dia, esclarecimento de objeções pontuais e avanço imediato para a etapa de formalização da participação, contribuindo diretamente para a conversão da oportunidade e fortalecimento do relacionamento com a cliente.",,,,,,,,,,,,,,,,
930005,1050003,1290042,aprovada,,2026-02-19 17:31:06,2026-02-23 14:41:04,1,,"No processo de comercialização de missão empresarial estratégica para o público de mulheres do agro, apliquei técnica de fechamento consultivo baseada em reforço de valor percebido e condução direcionada à decisão. A atuação evidenciou evolução na competência comercial, com abordagem estruturada para superação de objeções e facilitação da tomada de decisão.
Como resultado, houve conversão da oportunidade, redução do tempo de decisão e contribuição efetiva para o alcance das metas de mobilização e adesão de público prioritário da regional, demonstrando maior maturidade na condução do funil de vendas e foco em performance.",,,,,,,,,,,,,,,,
930006,1050002,1290042,aprovada,,2026-02-19 17:37:36,2026-02-23 14:41:06,1,,"Participei dos treinamentos de Qualificação Estratégica de Leads, Follow-up Eficiente e Fechamento Consultivo, aplicando as técnicas na comercialização de missões empresariais para mulheres do agro. Estruturei melhor o funil, priorizei leads com maior potencial, conduzi follow-ups com definição de próximos passos e utilizei fechamento consultivo orientado à decisão. Resultado: maior assertividade comercial, redução do tempo de decisão e contribuição direta para a conversão e alcance das metas de adesão da regional.",,,,,,,,,,,,,,,,
930007,900409,1290067,reprovada,"O nome do curso foi atualizado, favor seguir o seguinte link:  https://www.escolavirtual.gov.br/programa/186",2026-02-19 17:43:48,2026-02-23 14:43:37,1,,"Não consegui localizar esse curso: “Mentalidade Inovadora” – EV.G (Inovação e Aprendizagem Contínua), no site da EV.G.",,,,,,,,,,,,,,,,
930008,1050001,1290042,aprovada,,2026-02-19 17:46:43,2026-02-23 14:40:28,1,,"Durante atendimento a empresária do segmento do agro interessada em participar de missão empresarial, apliquei técnica de abordagem consultiva com foco em escuta ativa e perguntas abertas para compreender suas reais necessidades. Antes de apresentar detalhes da missão, explorei seus desafios atuais e expectativas de crescimento. A partir das informações levantadas, personalizei a apresentação da solução, conectando os benefícios da missão às demandas específicas do negócio. Como resultado, houve maior engajamento na conversa, fortalecimento da confiança e avanço para a etapa de envio de proposta formal.",,,,,,,,,,,,,,,,
930009,900358,1290066,reprovada,Evidência não recebida. Favor enviar evidência.,2026-02-19 18:26:00,2026-02-23 14:44:13,1,,"Esta ação já foi realizada pela colaboradora Hidê Senna no OKR 2025, e é utilizada pela equipe da Secretaria DIREX.",,,,,,,,,,,,,,,,
930010,1020014,1290044,aprovada,,2026-02-19 18:32:25,2026-02-23 14:42:32,1,,"FERRAMENTA METODOLÓGICA: Plano de Ação (5W2H) 
Aplicada no planejamento e realização do STARTUP DAY 2025 contemplando o 
detalhamento das ações, responsáveis e valores dos investimentos, bem como, a 
instituição por se tratar de evento com parceiro.
Considerações:
•	Aplicação realizada durante 30 dias antes do evento.
•	Destaque das ações prioritárias em cores vermelha, verde e azul para a manutenção do foco durante a execução. Esta medida proporcionou melhor organização das atividades para melhoria da produtividade.
•	Os ganhos obtidos foram as contratações com antecedência e a programação definida de forma antecipada.
•	Por se tratar de evento com apoio de parceiros houve o desafio de monitorar as ações do mesmo para a manutenção da qualidade do evento, bem como, realizar os ajustes em tempo adequado.
•	A medida proporcional ao gestor maior confiança na realização da ação.
•	A prática foi adotada em outros eventos como: FENEVA AGROTECH e RODADA DE CRÉDITO, bem como, já foi utilizada em 2026 no 
•	A prática foi adotada em outros eventos como: FENEVA AGROTECH e RODADA DE CRÉDITO, bem como, já foi utilizada no planejamento do STARTUP DAY 2026.",,,,,,,,,,,,,,,,
930011,900357,1290066,reprovada,"O campo “Enviar Evidências” não é o local para solicitar exclusões.

Para registrar um pedido de exclusão, consulte a aba Normas e Regras, onde estão as orientações sobre o local correto para fazer a solicitação.",2026-02-19 18:37:30,2026-02-23 14:45:55,1,,"Nossos processos já são desenvolvidos pela unidade específica - Equipe da UGE - Unidade de Gestão Estratégica Sebrae/TO. Então, mapear processos críticos; redesenhar fluxos; implementar melhorias e registrar impactos observados. 

Solicito por favor que seja retirado do meu PDI - Certificação em Gestão de Processos Administrativos (Organização Administrativa).

",,,,,,,,,,,,,,,,
930012,900356,1290066,reprovada,"O campo “Enviar Evidências” não é o local para solicitar alterações.

Para registrar um pedido de alteração, consulte a aba Normas e Regras, onde estão as orientações sobre o local correto para fazer a solicitação.",2026-02-19 18:43:37,2026-02-23 14:45:37,1,,"Solicito que esta sugestão seja substituído por um curso de comunicação assertiva, pois nas minhas atividades não há necessidade em realizar um Programa Avançado de Comunicação e Expressão Verbal (Comunicação e Oratória) com curso avançado; participar de clube de oratória; gravar apresentações; solicitar feedback; conduzir reunião formal aplicando técnicas.
Vou procurar um curso sobre comunicação assertiva que eu possa utilizar de imediato nos atendimentos aos clientes internos e externos.",,,,,,,,,,,,,,,,
930013,930009,1410003,aprovada,,2026-02-19 19:28:16,2026-02-23 14:46:00,1,,"Segue link com as evidências:

https://sebraepr-my.sharepoint.com/:f:/g/personal/wescley_silva_to_sebrae_com_br/IgA2bOWChFq5QIGO82vkwPoIAT_Y8wfzIeWaK8Zdk1qRyhs?e=1B0IcY

Pasta contém certificado e texto com as 3 práticas escolhidas",,,,,,,,,,,,,,,,
930014,1020013,1290044,aprovada,,2026-02-19 19:35:21,2026-02-23 14:41:21,1,,"Realização do evento RODADA DE CRÉDITO com a utilização prática de dados consolidados para captação de clientes ou direcionamento de iniciativas estratégicas de acesso ao crédito, sendo o evento realizado com base no levantamento de informações e dados estratégicos com a UGE que serviu de base para montar a estratégia de captação de cliente MEI CAMINHONEIRO e demais segmentos de transporte na RVA para participação no evento.",,,,,,,,,,,,,,,,
960001,1020012,1290044,aprovada,,2026-02-19 20:49:08,2026-02-23 14:42:45,1,,"As capacitações proporcionaram ampliar os conhecimentos sobre a gestão financeira e acesso ao crédito para aplicação junto aos cliente e pequenos negócios.
Considerações:
•	Principais ferramentas e conceitos que podem ser utilizadas junto aos pequenos negócios: Planejadora Financeira, Ecossistema de Financeiros e Linhas de crédito do BNDES e Educação Financeira.
o	A orientação da planejadora financeira para atendimento dos clientes do ALI Produtividade (Pamonha da Hora, RB Representações, Meu Brownie...)
	Depoimento dos empresários no Encontro Coletivo do ALI Produtividade dos resultados da aplicação da planejadora financeira.
o	Utilização do ecossistema financeira no atendimento a clientes com as informações sobre linhas de crédito.
	Relato do agente de crédito sobre a eficácia das informações para orientação aos empresários.
o	Realização da palestra de educação financeira para os alunos do Centro de Ensino Médio e UNITINS. 
	Depoimento da organização satisfação com a realização da palestra.
o	Acompanhamento de empresário no Seminário do BNDES. 
	Feedbacks positivos dos empresários da MENTE E CORPO e BIO FLORA",,,,,,,,,,,,,,,,
990001,900521,1320012,aprovada,,2026-02-26 16:15:31,2026-02-26 16:30:53,1,,O curso foi realizado no mês de julho de 2025.,,,,,,,,,,,,,,,,
990007,1530007,840001,aprovada,Faltam detalhes na evidência,2026-02-26 11:45:58,2026-02-26 11:45:58,1,,,,,,,,,,,,,,,,,,
990011,900520,1320012,aprovada,,2026-02-26 16:50:22,2026-02-26 17:15:44,1,,"O Checklist das atividades realizadas pela analista foi produzido e copilado para o documento denominado Manual de Transição - Atendimento Digital, onde foram elecadas todas as atividades frequentes e seus respectivos passo a passo para fins de subsidiar de conhecimento tanto a analista como colegas que porventura viessem a substituí-la no caso de afastamentos, como o de licença maternidade. O documento foi elaborado em 2025 e entregue à liderança da Unidade em agosto de 2025 na última reunião de equipe. ",,,,,,,,,,,,,,,,
990012,1020011,1290044,aprovada,,2026-02-26 20:20:31,2026-02-27 14:00:44,1,,"A capacitação no STARTUP DAY 2025 no Painel: Inovação com Inteligência Artificial 
com a abordagem do Palestrante Vinícius Istofel proporcionou a prática de 
utilização da I.A. na elaboração de resumos para relatórios e outras aplicações para 
orientação a clientes, resumos em processos e elaboração de materiais de 
divulgação de eventos.",,,,,,,,,,,,,,,,
1020001,900581,1290110,aprovada,,2026-02-27 14:05:28,2026-02-27 15:32:08,1,,"Prezados,

Informo que foi concluído o curso de Gestão do Tempo na UC do Sebrae NA, o qual, conforme certificado, contempla no Módulo 2 o conteúdo referente à Gestão do Tempo.

Destaco que o curso foi extremamente benéfico para minha rotina profissional como Analista de Segurança da Informação no Sebrae Tocantins. A aplicação prática do método Pomodoro, aliada à definição de blocos específicos para atividades operacionais, planejamento estratégico e reuniões, proporcionou uma reorganização significativa da minha agenda de trabalho.

Como resultado, passei a atuar com maior clareza de prioridades, redução de interrupções e aumento do foco nas atividades críticas, refletindo diretamente em maior produtividade e eficiência na execução das demandas.

Atenciosamente,
Jáder Nascimento",,,,,,,,,,,,,,,,
1020002,900480,1320012,aprovada,,2026-02-27 15:26:28,2026-02-27 15:32:30,1,,Foi realizado na UC Sebrae o curso Vínculos e Fidelização do Cliente em julho de 2025,,,,,,,,,,,,,,,,
1020003,900517,1320012,aprovada,,2026-02-27 15:27:31,2026-02-27 15:32:32,1,,Foi realizado o curso Experiência do cliente - Customer Experience em julho de 2025.,,,,,,,,,,,,,,,,
1050001,1020010,1290044,aprovada,,2026-02-27 20:04:30,2026-03-02 13:48:51,1,,"Participação da banca de avaliação do Trabalho de Conclusão de Curso do Curso de Bacharelado em Sistemas de Informação, do campus Paraíso do Tocantins do Instituto Federal do Tocantins da aluna Isabela Ferreira dos Santos Nascimento. O trabalho teve como objeto de estudo o MAPEAMENTO DA CADEIA DE VALOR DO CURSO DE BACHARELADO EM SISTEMAS DE INFORMAÇÃO EM ALINHAMENTO COM O ECOSSISTEMA LOCAL DE INOVAÇÃO, neste caso o INOVA PARAÍSO. Após a leitura do TCC e as análises da pesquisa de campo aplicada, enfatizo as seguintes reflexões sobre a inovação e seus desdobramentos no município de Paraíso do Tocantins através do ELI – Ecossistema Local de Inovação:",,,,,,,,,,,,,,,,
1080001,900686,1260012,aprovada,,2026-03-01 23:58:05,2026-03-02 13:49:21,1,,Essa ação foi realizada em novembro de 2025 e apresentada a evidência na ação.,,,,,,,,,,,,,,,,
1110001,900579,1290110,aprovada,,2026-03-02 11:52:04,2026-03-02 13:49:32,1,,"Prezados(as),

O curso de gestão de risco foi feito pela Escola Virtual de Governo (EV.G), pois a plataforma é uma iniciativa da Enap (Escola Nacional de Administração Pública) vinculada ao governo federal. Eles oferecem certificados válidos em todo o Brasil para cursos livres e de capacitação, ideais para qualificação profissional e servidores.

Obrigado.",,,,,,,,,,,,,,,,
1110002,900580,1290110,aprovada,,2026-03-02 12:58:44,2026-03-02 13:49:34,1,,"A realização do curso de Inteligência Emocional e Autoconhecimento no Ambiente de Trabalho ampliou significativamente minha percepção sobre o impacto das emoções nas decisões profissionais. Compreendi que o autoconhecimento é a base para uma atuação mais estratégica, equilibrada e consciente. Entre os principais aprendizados, destaco a importância da autorregulação emocional e da empatia como competências essenciais para a liderança e para o trabalho em equipe.

Apliquei duas técnicas centrais: a pausa consciente antes de responder em situações de pressão e o mapeamento das minhas reações emocionais em cenários críticos. Em momentos de alta demanda e tomada de decisão, especialmente em situações que exigem posicionamento técnico e alinhamento entre áreas, utilizei a respiração estruturada para manter clareza e objetividade. Também passei a praticar a escuta ativa em reuniões, reduzindo julgamentos precipitados.

Como resultado, percebi maior equilíbrio emocional, comunicação mais assertiva e melhoria no relacionamento interpessoal. Houve redução de conflitos, aumento da produtividade e mais segurança na condução de situações desafiadoras. O curso fortaleceu minha postura profissional e contribuiu para uma atuação ainda mais estratégica e consciente no ambiente corporativo.",,,,,,,,,,,,,,,,
1140001,900685,1290025,aprovada,,2026-03-02 20:33:36,2026-03-02 21:42:43,1,,Certificado de conclusão do curso CRIATIVIDADE em 30/09/2026.,,,,,,,,,,,,,,,,
1140002,900684,1290025,aprovada,,2026-03-02 20:35:34,2026-03-02 21:42:45,1,,Relatório de execução e checklist em anexo.,,,,,,,,,,,,,,,,
1170001,900413,1290030,aprovada,,2026-03-04 13:26:41,2026-03-04 14:24:50,1,,Tarefa realizada conforme evidencias,,,,,,,,,,,,,,,,
1170002,1530011,1260015,aprovada,,2026-03-04 14:24:31,2026-03-04 15:39:29,1,,"Ação foi realizada ao longo de 2025, onde sou gestora de um Programa local que tem como objetivo:
O Programa Humanizar tem como objetivo colocar as pessoas colaboradoras no centro da estratégia do Sebrae, criando um ambiente que favoreça mudanças culturais e comportamentais, estimulando o protagonismo individual e coletivo. Ele busca desenvolver competências humanas e estratégicas, valorizar a diversidade e fortalecer a cultura organizacional como pilares de uma carreira sólida e de futuro. Dessa forma, promove inclusão, inovação e sustentabilidade, preparando a força de trabalho para enfrentar os desafios de um mundo em constante transformação e potencializando os resultados da instituição e de seus times.

Vinculado a esse programa tivemos em 2025, 4 Projeto contendo ações, marcos critico e seus respectivos entregáveis, onde fiz gestão diretamente. O programa e 3 dos 4 programas tiveram excelentes resultados, sendo inclusive premiados através do projeto de reconhecimento interno Top Gestor, sendo reconhecido em 1º,2º e 3º lugar. Ressalto ainda que a prestação de contas do programa e seus respectivos projetos foram aprovadas já em 2026. Os documentos consta no link abaixo
https://sebraepr.sharepoint.com/:b:/s/TO-UGP/IQA3nPyTN6QiQbqy9ecoPAosAUS9dn04zYxa3VKlgdmYJFQ?email=relacionamento%40ckmtalents.net&e=Md46et

https://sebraepr.sharepoint.com/:b:/s/TO-UGP/IQDfOtY5DS3kS5Dyd-uAVieNAQ-DK_Cf4nDIBlPAnoIM2vE?email=relacionamento%40ckm.com.br&e=ZdmEwl",,,,,,,,,,,,,,,,
1170004,900342,1290042,aprovada,,2026-03-04 14:44:23,2026-03-04 15:38:58,1,,"A Roda de Compartilhamento de Boas Práticas foi realizada conforme planejado, com participação da equipe e condução estruturada. Foram registradas foto, roteiro e síntese dos pontos discutidos. A ação fortaleceu a integração da equipe e gerou encaminhamentos para melhoria dos processos.",,,,,,,,,,,,,,,,
1200001,1140001,1260001,aprovada,,2026-03-04 17:17:12,2026-03-04 20:39:09,1,,"Segue abaixo o link da evidencia da Relização de tarefa:
https://drive.google.com/drive/folders/1wRDR7HtOgi7FULQEPiVoOnNOcbrv_pak
",,,,,,,,,,,,,,,,
1200003,960001,1290044,aprovada,,2026-03-04 19:25:06,2026-03-04 20:38:55,1,,"Participação na capacitação o Código Invisível da Influência proporcionou conteúdo para a melhoria da comunicação em algumas atividades desenvolvidas, considerando: 
•	Realização de palestras Finanças e FAMPE para empresários e Educação Financeira para alunos e acadêmicos do CEM e da UNITINS.
•	A realização de entrevistas em rádio sobre eventos e projetos SEBRAE-TO
•	Condução da apresentação como cerimonialista em eventos, ex: Lançamento Campanha de Natal (SICTIVA, Rodada de Crédito, Indústria em FOCO e Seminários de Crédito BASA).
•	Abordagem do atendimento com foco na necessidade do cliente, ex: cliente que busca boleto é instigado sobre outras necessidades da empresa.
•	Postagem de divulgação de eventos, ex: STARTUP DAY 2025.",,,,,,,,,,,,,,,,
1200004,900313,1290044,aprovada,,2026-03-04 21:10:55,2026-03-04 21:16:36,1,,"A atuação com as iniciativas de Impulsionar Negócios RVA e Conexão Financeira RVA, geram algumas oportunidades de melhoria e iniciativas inovadoras, criativas e estratégicas que proporcionaram a melhoria dos resultados da regional e junto aos clientes na execução das ações previstas, gerando impacto positivo para a regional e clientes.",,,,,,,,,,,,,,,,
1230001,900341,1290042,aprovada,,2026-03-05 13:18:48,2026-03-05 14:17:35,1,,"Realizada escuta ativa com colaboradores e envolvidos no processo, com o objetivo de identificar oportunidades de melhoria na execução das atividades. A partir das contribuições levantadas, foi feita análise dos pontos apresentados e elaborada proposição de melhoria no processo, visando maior eficiência, melhor organização das etapas e alinhamento entre a equipe. A proposta foi compartilhada para reflexão e aprimoramento das práticas adotadas.",,,,,,,,,,,,,,,,
1260001,900352,1290042,aprovada,,2026-03-05 19:44:00,2026-03-06 13:20:17,1,,"A ação Autodiagnóstico e Planejamento da Gestão do Tempo consistiu na aplicação de uma ferramenta de reflexão estruturada, que me permitiu analisar como utilizar meu tempo nas atividades profissionais e pessoais. A partir desse autodiagnóstico, foram identificados pontos de melhoria, prioridades e possíveis desperdícios de tempo. Com base nessas percepções, foi elaborado um planejamento prático de organização das tarefas, definição de prioridades e estabelecimento de rotinas mais produtivas, contribuindo para uma gestão do tempo mais eficiente e alinhada aos objetivos do participante.",,,,,,,,,,,,,,,,
1290006,1740037,840001,aprovada,Faltam detalhes na evidência,2026-03-06 01:39:58,2026-03-06 01:39:59,1,,,,,,,,,,,,,,,,,,
1320001,900353,1290042,aprovada,,2026-03-06 14:00:19,2026-03-06 14:04:56,1,,"Aplicar a técnica Pomodoro foi uma experiência simples e eficaz para organizar melhor o tempo e aumentar minha produtividade. A proposta de dividir o trabalho em ciclos de 25 minutos de foco total, seguidos por pequenas pausas de 5 minutos, ajudou a manter a concentração e evitar distrações durante as atividades.
Durante cada período de foco, foi possível dedicar atenção plena a uma única tarefa, o que trouxe mais clareza e agilidade na execução. Já as pausas curtas permitiram descansar a mente, reduzindo o cansaço e renovando a disposição para o próximo ciclo de trabalho.
No geral, a aplicação da técnica contribuiu para melhorar a gestão do tempo, manter o foco nas prioridades e tornar o trabalho mais organizado e produtivo ao longo do dia.",,,,,,,,,,,,,,,,
1350001,900315,1290044,aprovada,,2026-03-06 18:25:29,2026-03-09 18:01:56,1,,"A atuação no atendimento e relacionamento com o cliente através de contatos via mensagens de aplicativos, atendimento presencial e visitas de atendimento in loco ocorreram na atuação de atendimento e relacionamento com o clientes, principalmente com serviços financeiros e atendimento digital.",,,,,,,,,,,,,,,,
1350002,900316,1290044,aprovada,,2026-03-06 20:05:07,2026-03-09 18:01:34,1,,"A capacitação na temática de inovação proporcionou a atuação na regional com iniciativas de políticas públicas e desenvolvimento territorial, considerando:
•	A atuação no eixo de inovação da Agenda de Desenvolvimento do Projeto Território Empreendedor do Vale do Araguaia com a articulação para implantação do Centro de Desenvolvimento Regional do Vale do Araguaia, contemplando a disseminação de editais de inovação das instituições de fomento a inovação, como FAPT e FINEP.
•	Atuação no eixo de inovação do Cidade Empreendedora com a gestão e execução plano de intervenção do Ecossistema Local de Inovação de Paraíso do Tocantins TO – INOVA PARAÍSO, contemplando a estruturação, formatação de planos de trabalho, projetos e gestão técnica de eventos e recursos captados junto a FAPT – Fundação de Amparo à Pesquisa do Tocantins, visando a realização do SICTIVA – Semana Integrada de Ciência Tecnologia e Inovação do Vale do Araguaia, como foco no desenvolvimento econômico territorial através do estímulo ao empreendedorismo e inovação.",,,,,,,,,,,,,,,,
1350008,1800011,840001,aprovada,Faltam detalhes na evidência,2026-03-06 15:20:42,2026-03-06 15:20:43,1,,,,,,,,,,,,,,,,,,
1410001,1140030,1500001,aprovada,,2026-03-07 12:33:04,2026-03-09 18:02:50,1,,"Registro de Pausas
Durante a semana passada realizei pausas programadas de aproximadamente 5 minutos em momentos específicos do dia. Nessas pausas fiz alongamentos para braços e pescoço, bebi água, respirei profundamente três vezes e, em alguns momentos, levantei-me da cadeira ou caminhei um pouco. O objetivo foi melhorar a concentração, reduzir o cansaço e manter o bem-estar durante as atividades de trabalho.
Segunda-feira
Cheguei de viagem na madrugada e iniciei o trabalho ainda bastante cansado. Antes da primeira pausa percebia muito cansaço e dificuldade de concentração. Após alongar os braços e o pescoço, beber água e respirar profundamente, senti uma melhora na disposição e consegui retomar as atividades com mais foco.
No período da tarde realizei uma nova pausa. Ainda havia um pouco de fadiga acumulada da viagem, mas após a pausa senti mais leveza e consegui seguir com as atividades de forma mais produtiva.
Terça-feira (pausas realizadas ao longo de todo o dia)

Durante todo o dia realizei as pausas programadas, pois a rotina estava bastante intensa. Pela manhã já percebia um leve cansaço, mas após a primeira pausa senti melhora na disposição.
No período da tarde, após retornar das agendas nos municípios, estava com sensação de desgaste físico e mental por conta dos deslocamentos e das atividades externas. Fiz novamente alongamento, respiração profunda e hidratação. Após essas pausas percebi redução da tensão no corpo e consegui continuar as atividades administrativas com mais clareza e tranquilidade.
Quinta-feira (período da tarde, após viagem aos municípios)
Após retornar de visitas aos municípios, sentia cansaço e tensão principalmente na região do pescoço e ombros. Realizei a pausa de cinco minutos, fiz alongamentos, respirei profundamente e caminhei um pouco. Após esse momento senti melhora no bem-estar e mais disposição para concluir as atividades do dia.
Sexta-feira
Na sexta-feira realizei as pausas programadas ao longo do expediente. Antes da pausa da manhã percebia um leve cansaço acumulado da semana. Após o alongamento, hidratação e respiração profunda senti melhora na disposição e na concentração. No período da tarde, a pausa também ajudou a reduzir a tensão da rotina e finalizar o dia com maior sensação de equilíbrio e bem-estar.

Conclusão
Mesmo sendo pausas curtas, percebi que esses momentos fizeram diferença no meu dia a dia de trabalho. Elas ajudaram a melhorar a disposição, reduzir a tensão física e manter a concentração nas atividades, especialmente em dia com viagens e agendas externas.
",,,,,,,,,,,,,,,,
